person,film,role
Sami Frey,"('Black Widow', 1987)",actor
Dennis Hopper,"('Black Widow', 1987)",actor
Bob Rafelson,"('Black Widow', 1987)",director
Jim Belushi,"('Mr. Destiny', 1990)",actor
Linda Hamilton,"('Mr. Destiny', 1990)",actor
Michael Caine,"('Mr. Destiny', 1990)",actor
Jon Lovitz,"('Mr. Destiny', 1990)",actor
James Orr,"('Mr. Destiny', 1990)",director
Ewan Mcgregor,"('Rogue Trader', 1999)",actor
Anna Friel,"('Rogue Trader', 1999)",actor
Cristian Solimeno,"('Rogue Trader', 1999)",actor
Lorna Pegler,"('Rogue Trader', 1999)",actor
James Dearden,"('Rogue Trader', 1999)",director
Clive Owen,"('Beyond Borders', 2003)",actor
Angelina Jolie,"('Beyond Borders', 2003)",actor
Linus Roache,"('Beyond Borders', 2003)",actor
Teri Polo,"('Beyond Borders', 2003)",actor
Martin Campbell,"('Beyond Borders', 2003)",director
Michael Douglas,"('Shining Through', 1992)",actor
Melanie Griffith,"('Shining Through', 1992)",actor
Liam Neeson,"('Shining Through', 1992)",actor
Joely Richardson,"('Shining Through', 1992)",actor
David Seltzer,"('Shining Through', 1992)",director
Gugu Mbatha-Raw,"('Irreplaceable You', 2018)",actor
Michiel Huisman,"('Irreplaceable You', 2018)",actor
Steve Coogan,"('Irreplaceable You', 2018)",actor
Timothy Simons,"('Irreplaceable You', 2018)",actor
Stephanie Laing,"('Irreplaceable You', 2018)",director
Shah Rukh Khan,"('Paheli', 2005)",actor
Rani Mukerji,"('Paheli', 2005)",actor
Anupam Kher,"('Paheli', 2005)",actor
Naseeruddin Shah,"('Paheli', 2005)",actor
Amol Palekar,"('Paheli', 2005)",director
Michael Shannon,"('Elvis & Nixon', 2016)",actor
Kevin Spacey,"('Elvis & Nixon', 2016)",actor
Alex Pettyfer,"('Elvis & Nixon', 2016)",actor
Johnny Knoxville,"('Elvis & Nixon', 2016)",actor
Liza Johnson,"('Elvis & Nixon', 2016)",director
Jackie Chan,"('Twin Dragons', 1992)",actor
Maggie Cheung,"('Twin Dragons', 1992)",actor
Teddy Robin Kwan,"('Twin Dragons', 1992)",actor
James Wong,"('Twin Dragons', 1992)",actor
Ringo Lam,"('Twin Dragons', 1992)",director
Hark Tsui,"('Twin Dragons', 1992)",director
Julie Condra,"('Crying Freeman', 1995)",actor
Kevan Ohtsji,"('Crying Freeman', 1995)",actor
Mark Dacascos,"('Crying Freeman', 1995)",actor
Debbie Podowski,"('Crying Freeman', 1995)",actor
Christophe Gans,"('Crying Freeman', 1995)",director
John Cusack,"('Shanghai', 2010)",actor
Gong Li,"('Shanghai', 2010)",actor
Chow Yun-Fat,"('Shanghai', 2010)",actor
David Morse,"('Shanghai', 2010)",actor
Mikael Hafstrom,"('Shanghai', 2010)",director
Edward Norton,"('Down in the Valley', 2005)",actor
Evan Rachel Wood,"('Down in the Valley', 2005)",actor
David Morse,"('Down in the Valley', 2005)",actor
Rory Culkin,"('Down in the Valley', 2005)",actor
David Jacobson,"('Down in the Valley', 2005)",director
Jonathan Daniel Brown,"('Kid Cannabis', 2014)",actor
Kenny Wormald,"('Kid Cannabis', 2014)",actor
Aaron Yoo,"('Kid Cannabis', 2014)",actor
Ron Perlman,"('Kid Cannabis', 2014)",actor
John Stockwell,"('Kid Cannabis', 2014)",director
Jim Caviezel,"('Unknown', 2006)",actor
Greg Kinnear,"('Unknown', 2006)",actor
Bridget Moynahan,"('Unknown', 2006)",actor
Joe Pantoliano,"('Unknown', 2006)",actor
Simon Brand,"('Unknown', 2006)",director
Edward Norton,"('Leaves of Grass', 2009)",actor
Keri Russell,"('Leaves of Grass', 2009)",actor
Henry Max Nelson,"('Leaves of Grass', 2009)",actor
Lucy Devito,"('Leaves of Grass', 2009)",actor
Tim Blake Nelson,"('Leaves of Grass', 2009)",director
Tim Robbins,"('Human Nature', 2001)",actor
Patricia Arquette,"('Human Nature', 2001)",actor
Rhys Ifans,"('Human Nature', 2001)",actor
Ken Magee,"('Human Nature', 2001)",actor
Michel Gondry,"('Human Nature', 2001)",director
Hugo Silva,"('Witching and Bitching', 2013)",actor
Mario Casas,"('Witching and Bitching', 2013)",actor
Pepon Nieto,"('Witching and Bitching', 2013)",actor
Carolina Bang,"('Witching and Bitching', 2013)",actor
Alex De La Iglesia,"('Witching and Bitching', 2013)",director
Ryan Reynolds,"('Foolproof', 2003)",actor
Kristin Booth,"('Foolproof', 2003)",actor
Joris Jarsky,"('Foolproof', 2003)",actor
Sean Sullivan,"('Foolproof', 2003)",actor
William Phillips,"('Foolproof', 2003)",director
Steve Coogan,"('Ideal Home', 2018)",actor
Paul Rudd,"('Ideal Home', 2018)",actor
Jesse Luken,"('Ideal Home', 2018)",actor
Evan Bittencourt,"('Ideal Home', 2018)",actor
Andrew Fleming,"('Ideal Home', 2018)",director
Huub Smit,"('New Kids Turbo', 2010)",actor
Tim Haars,"('New Kids Turbo', 2010)",actor
Wesley Van Gaalen,"('New Kids Turbo', 2010)",actor
Steffen Haars,"('New Kids Turbo', 2010)",actor
Steffen Haars,"('New Kids Turbo', 2010)",director
Flip Van Der Kuil,"('New Kids Turbo', 2010)",director
Michiel Huisman,"('The Ottoman Lieutenant', 2017)",actor
Hera Hilmar,"('The Ottoman Lieutenant', 2017)",actor
Josh Hartnett,"('The Ottoman Lieutenant', 2017)",actor
Ben Kingsley,"('The Ottoman Lieutenant', 2017)",actor
Joseph Ruben,"('The Ottoman Lieutenant', 2017)",director
Ryan Reynolds,"('Fireflies in the Garden', 2008)",actor
Willem Dafoe,"('Fireflies in the Garden', 2008)",actor
Emily Watson,"('Fireflies in the Garden', 2008)",actor
Carrie-Anne Moss,"('Fireflies in the Garden', 2008)",actor
Dennis Lee,"('Fireflies in the Garden', 2008)",director
Paul Mercier,"('Resident Evil: Degeneration', 2008)",actor
Alyson Court,"('Resident Evil: Degeneration', 2008)",actor
Laura Bailey,"('Resident Evil: Degeneration', 2008)",actor
Roger Craig Smith,"('Resident Evil: Degeneration', 2008)",actor
Makoto Kamiya,"('Resident Evil: Degeneration', 2008)",director
Donnie Yen,"('Kung Fu Jungle', 2014)",actor
Baoqiang Wang,"('Kung Fu Jungle', 2014)",actor
Charlie Yeung,"('Kung Fu Jungle', 2014)",actor
Bing Bai,"('Kung Fu Jungle', 2014)",actor
Teddy Chan,"('Kung Fu Jungle', 2014)",director
Konstantin Khabenskiy,"('Day Watch', 2006)",actor
Mariya Poroshina,"('Day Watch', 2006)",actor
Vladimir Menshov,"('Day Watch', 2006)",actor
Galina Tyunina,"('Day Watch', 2006)",actor
Timur Bekmambetov,"('Day Watch', 2006)",director
Vanessa Redgrave,"('Evening', 2007)",actor
Toni Collette,"('Evening', 2007)",actor
Claire Danes,"('Evening', 2007)",actor
Patrick Wilson,"('Evening', 2007)",actor
Lajos Koltai,"('Evening', 2007)",director
Stephen Chow,"('CJ7', 2008)",actor
Yuqi Zhang,"('CJ7', 2008)",actor
Jiao Xu,"('CJ7', 2008)",actor
Lei Huang,"('CJ7', 2008)",actor
Stephen Chow,"('CJ7', 2008)",director
Gabriel Almiron,"('Underdogs', 2013)",actor
Federico Cecere,"('Underdogs', 2013)",actor
Ezequiel Cipols,"('Underdogs', 2013)",actor
Luciana Falcon,"('Underdogs', 2013)",actor
Juan Jose Campanella,"('Underdogs', 2013)",director
Ranbir Kapoor,"('Jagga Jasoos', 2017)",actor
Katrina Kaif,"('Jagga Jasoos', 2017)",actor
Saswata Chatterjee,"('Jagga Jasoos', 2017)",actor
Chitrak Bandyopadhyay,"('Jagga Jasoos', 2017)",actor
Anurag Basu,"('Jagga Jasoos', 2017)",director
Shubzz,"('Jagga Jasoos', 2017)",director
Irrfan Khan,"('Billu', 2009)",actor
Lara Dutta,"('Billu', 2009)",actor
Om Puri,"('Billu', 2009)",actor
Govardhan Asrani,"('Billu', 2009)",actor
Priyadarshan,"('Billu', 2009)",director
Yu Aoi,"('Harlock: Space Pirate', 2013)",actor
Jessica Boone,"('Harlock: Space Pirate', 2013)",actor
Ayano Fukuda,"('Harlock: Space Pirate', 2013)",actor
Arata Furuta,"('Harlock: Space Pirate', 2013)",actor
Shinji Aramaki,"('Harlock: Space Pirate', 2013)",director
Jack Lemmon,"('The Odd Couple II', 1998)",actor
Walter Matthau,"('The Odd Couple II', 1998)",actor
Richard Riehle,"('The Odd Couple II', 1998)",actor
Jonathan Silverman,"('The Odd Couple II', 1998)",actor
Howard Deutch,"('The Odd Couple II', 1998)",director
Hrithik Roshan,"('Krrish', 2006)",actor
Priyanka Chopra Jonas,"('Krrish', 2006)",actor
Rekha,"('Krrish', 2006)",actor
Naseeruddin Shah,"('Krrish', 2006)",actor
Rakesh Roshan,"('Krrish', 2006)",director
Tomer Sisley,"('The Heir Apparent: Largo Winch', 2008)",actor
Kristin Scott Thomas,"('The Heir Apparent: Largo Winch', 2008)",actor
Predrag 'Miki' Manojlovic,"('The Heir Apparent: Largo Winch', 2008)",actor
Melanie Thierry,"('The Heir Apparent: Largo Winch', 2008)",actor
Jerome Salle,"('The Heir Apparent: Largo Winch', 2008)",director
Cem Yilmaz,"('Karakomik Filmler: 2 Arada', 2019)",actor
Cemre Ebuzziya,"('Karakomik Filmler: 2 Arada', 2019)",actor
Ozan Guven,"('Karakomik Filmler: 2 Arada', 2019)",actor
Zafer Algoz,"('Karakomik Filmler: 2 Arada', 2019)",actor
Cem Yilmaz,"('Karakomik Filmler: 2 Arada', 2019)",director
Will Ferrell,"('Melinda and Melinda', 2004)",actor
Vinessa Shaw,"('Melinda and Melinda', 2004)",actor
Chiwetel Ejiofor,"('Melinda and Melinda', 2004)",actor
Wallace Shawn,"('Melinda and Melinda', 2004)",actor
Woody Allen,"('Melinda and Melinda', 2004)",director
Amitabh Bachchan,"('Bhoothnath', 2008)",actor
Juhi Chawla,"('Bhoothnath', 2008)",actor
Satish Shah,"('Bhoothnath', 2008)",actor
Rajpal Naurang Yadav,"('Bhoothnath', 2008)",actor
Vivek Sharma,"('Bhoothnath', 2008)",director
Gerard Depardieu,"('Vidocq', 2001)",actor
Guillaume Canet,"('Vidocq', 2001)",actor
Ines Sastre,"('Vidocq', 2001)",actor
Andre Dussollier,"('Vidocq', 2001)",actor
Pitof,"('Vidocq', 2001)",director
Malgorzata Foremniak,"('Avalon', 2001)",actor
Wladyslaw Kowalski,"('Avalon', 2001)",actor
Jerzy Gudejko,"('Avalon', 2001)",actor
Dariusz Biskupski,"('Avalon', 2001)",actor
Mamoru Oshii,"('Avalon', 2001)",director
Paul Dano,"('Being Flynn', 2012)",actor
Robert De Niro,"('Being Flynn', 2012)",actor
Julianne Moore,"('Being Flynn', 2012)",actor
Olivia Thirlby,"('Being Flynn', 2012)",actor
Paul Weitz,"('Being Flynn', 2012)",director
Paul Giamatti,"('Cold Souls', 2009)",actor
Emily Watson,"('Cold Souls', 2009)",actor
Dina Korzun,"('Cold Souls', 2009)",actor
Armand Schultz,"('Cold Souls', 2009)",actor
Sophie Barthes,"('Cold Souls', 2009)",director
Mickey Rourke,"('Ashby', 2015)",actor
Nat Wolff,"('Ashby', 2015)",actor
Emma Roberts,"('Ashby', 2015)",actor
Sarah Silverman,"('Ashby', 2015)",actor
Tony Mcnamara,"('Ashby', 2015)",director
Alexis Diaz De Villegas,"('Juan of the Dead', 2011)",actor
Jorge Molina,"('Juan of the Dead', 2011)",actor
Andros Perugorria,"('Juan of the Dead', 2011)",actor
Andrea Duro,"('Juan of the Dead', 2011)",actor
Alejandro Brugues,"('Juan of the Dead', 2011)",director
Colin Hanks,"('The Great Buck Howard', 2008)",actor
John Malkovich,"('The Great Buck Howard', 2008)",actor
Tom Hanks,"('The Great Buck Howard', 2008)",actor
Emily Blunt,"('The Great Buck Howard', 2008)",actor
Sean Mcginly,"('The Great Buck Howard', 2008)",director
Ben Kingsley,"('You Kill Me', 2007)",actor
Tea Leoni,"('You Kill Me', 2007)",actor
Luke Wilson,"('You Kill Me', 2007)",actor
Dennis Farina,"('You Kill Me', 2007)",actor
John Dahl,"('You Kill Me', 2007)",director
John C. Reilly,"('Criminal', 2004)",actor
Diego Luna,"('Criminal', 2004)",actor
Maggie Gyllenhaal,"('Criminal', 2004)",actor
Peter Mullan,"('Criminal', 2004)",actor
Gregory Jacobs,"('Criminal', 2004)",director
Akshay Kumar,"('Brothers', 2015)",actor
Sidharth Malhotra,"('Brothers', 2015)",actor
Jackie Shroff,"('Brothers', 2015)",actor
Jacqueline Fernandez,"('Brothers', 2015)",actor
Karan Malhotra,"('Brothers', 2015)",director
Takeshi Kaneshiro,"('Returner', 2002)",actor
Anne Suzuki,"('Returner', 2002)",actor
Goro Kishitani,"('Returner', 2002)",actor
Kirin Kiki,"('Returner', 2002)",actor
Takashi Yamazaki,"('Returner', 2002)",director
Sasha Roiz,"('Extracted', 2012)",actor
Jenny Mollen,"('Extracted', 2012)",actor
Dominic Bogart,"('Extracted', 2012)",actor
Richard Riehle,"('Extracted', 2012)",actor
Nir Paniry,"('Extracted', 2012)",director
Don Cheadle,"('Miles Ahead', 2015)",actor
Emayatzy Corinealdi,"('Miles Ahead', 2015)",actor
Ewan Mcgregor,"('Miles Ahead', 2015)",actor
Michael Stuhlbarg,"('Miles Ahead', 2015)",actor
Don Cheadle,"('Miles Ahead', 2015)",director
Luke Wilson,"('Henry Poole Is Here', 2008)",actor
Radha Mitchell,"('Henry Poole Is Here', 2008)",actor
George Lopez,"('Henry Poole Is Here', 2008)",actor
Adriana Barraza,"('Henry Poole Is Here', 2008)",actor
Mark Pellington,"('Henry Poole Is Here', 2008)",director
Benoit Poelvoorde,"('Nothing to Declare', 2010)",actor
Dany Boon,"('Nothing to Declare', 2010)",actor
Christel Pedrinelli,"('Nothing to Declare', 2010)",actor
Karin Viard,"('Nothing to Declare', 2010)",actor
Dany Boon,"('Nothing to Declare', 2010)",director
Rachel Boston,"(""It's a Disaster"", 2012)",actor
Laura Adkin,"(""It's a Disaster"", 2012)",actor
Kevin M. Brennan,"(""It's a Disaster"", 2012)",actor
David Cross,"(""It's a Disaster"", 2012)",actor
Todd Berger,"(""It's a Disaster"", 2012)",director
Catherine Deneuve,"('Potiche', 2010)",actor
Gerard Depardieu,"('Potiche', 2010)",actor
Fabrice Luchini,"('Potiche', 2010)",actor
Karin Viard,"('Potiche', 2010)",actor
Francois Ozon,"('Potiche', 2010)",director
Kangana Ranaut,"('Manikarnika: The Queen of Jhansi', 2019)",actor
Danny Denzongpa,"('Manikarnika: The Queen of Jhansi', 2019)",actor
Suresh Oberoi,"('Manikarnika: The Queen of Jhansi', 2019)",actor
Atul Kulkarni,"('Manikarnika: The Queen of Jhansi', 2019)",actor
Radha Krishna Jagarlamudi,"('Manikarnika: The Queen of Jhansi', 2019)",director
Kangana Ranaut,"('Manikarnika: The Queen of Jhansi', 2019)",director
Vinnie Jones,"('Redirected', 2014)",actor
Scot Williams,"('Redirected', 2014)",actor
Gil Darnell,"('Redirected', 2014)",actor
Oliver Jackson,"('Redirected', 2014)",actor
Emilis Velyvis,"('Redirected', 2014)",director
Ranbir Kapoor,"('Ajab Prem Ki Ghazab Kahani', 2009)",actor
Katrina Kaif,"('Ajab Prem Ki Ghazab Kahani', 2009)",actor
Darshan Jariwala,"('Ajab Prem Ki Ghazab Kahani', 2009)",actor
Smita Jaykar,"('Ajab Prem Ki Ghazab Kahani', 2009)",actor
Rajkumar Santoshi,"('Ajab Prem Ki Ghazab Kahani', 2009)",director
Florence Pugh,"(""Don't Worry Darling"", 2022)",actor
Harry Styles,"(""Don't Worry Darling"", 2022)",actor
Chris Pine,"(""Don't Worry Darling"", 2022)",actor
Olivia Wilde,"(""Don't Worry Darling"", 2022)",actor
Olivia Wilde,"(""Don't Worry Darling"", 2022)",director
Tom Bateman,"('Death on the Nile', 2022)",actor
Annette Bening,"('Death on the Nile', 2022)",actor
Kenneth Branagh,"('Death on the Nile', 2022)",actor
Russell Brand,"('Death on the Nile', 2022)",actor
Kenneth Branagh,"('Death on the Nile', 2022)",director
Will Ferrell,"('Strays', 2023)",actor
Jamie Foxx,"('Strays', 2023)",actor
Isla Fisher,"('Strays', 2023)",actor
Randall Park,"('Strays', 2023)",actor
Josh Greenbaum,"('Strays', 2023)",director
Denzel Washington,"('The Little Things', 2021)",actor
Rami Malek,"('The Little Things', 2021)",actor
Jared Leto,"('The Little Things', 2021)",actor
Chris Bauer,"('The Little Things', 2021)",actor
John Lee Hancock,"('The Little Things', 2021)",director
Neve Campbell,"('Scream', 2022)",actor
Courteney Cox,"('Scream', 2022)",actor
David Arquette,"('Scream', 2022)",actor
Melissa Barrera,"('Scream', 2022)",actor
Matt Bettinelli-Olpin,"('Scream', 2022)",director
Tyler Gillett,"('Scream', 2022)",director
Sandra Bullock,"('Practical Magic', 1998)",actor
Nicole Kidman,"('Practical Magic', 1998)",actor
Stockard Channing,"('Practical Magic', 1998)",actor
Dianne Wiest,"('Practical Magic', 1998)",actor
Griffin Dunne,"('Practical Magic', 1998)",director
Jason Statham,"('Operation Fortune: Ruse de Guerre', 2023)",actor
Aubrey Plaza,"('Operation Fortune: Ruse de Guerre', 2023)",actor
Cary Elwes,"('Operation Fortune: Ruse de Guerre', 2023)",actor
Hugh Grant,"('Operation Fortune: Ruse de Guerre', 2023)",actor
Guy Ritchie,"('Operation Fortune: Ruse de Guerre', 2023)",director
Anna Faris,"('Scary Movie', 2000)",actor
Jon Abrahams,"('Scary Movie', 2000)",actor
Marlon Wayans,"('Scary Movie', 2000)",actor
Carmen Electra,"('Scary Movie', 2000)",actor
Keenen Ivory Wayans,"('Scary Movie', 2000)",director
Neve Campbell,"('Scream 2', 1997)",actor
Courteney Cox,"('Scream 2', 1997)",actor
David Arquette,"('Scream 2', 1997)",actor
Jada Pinkett Smith,"('Scream 2', 1997)",actor
Wes Craven,"('Scream 2', 1997)",director
Kostja Ullmann,"('Paradise', 2023)",actor
Corinna Kirchhoff,"('Paradise', 2023)",actor
Marlene Tanczik,"('Paradise', 2023)",actor
Iris Berben,"('Paradise', 2023)",actor
Boris Kunz,"('Paradise', 2023)",director
Dwayne Johnson,"('Black Adam', 2022)",actor
Aldis Hodge,"('Black Adam', 2022)",actor
Pierce Brosnan,"('Black Adam', 2022)",actor
Noah Centineo,"('Black Adam', 2022)",actor
Jaume Collet-Serra,"('Black Adam', 2022)",director
Ralph Fiennes,"(""The King's Man"", 2021)",actor
Gemma Arterton,"(""The King's Man"", 2021)",actor
Rhys Ifans,"(""The King's Man"", 2021)",actor
Harris Dickinson,"(""The King's Man"", 2021)",actor
Matthew Vaughn,"(""The King's Man"", 2021)",director
Judd Nelson,"('Girl in the Basement', 2021)",actor
Stefanie Scott,"('Girl in the Basement', 2021)",actor
Joely Fisher,"('Girl in the Basement', 2021)",actor
Emma Myers,"('Girl in the Basement', 2021)",actor
Elisabeth Rohm,"('Girl in the Basement', 2021)",director
Scarlett Johansson,"('Under the Skin', 2013)",actor
Jeremy Mcwilliams,"('Under the Skin', 2013)",actor
Lynsey Taylor Mackay,"('Under the Skin', 2013)",actor
Dougie Mcconnell,"('Under the Skin', 2013)",actor
Jonathan Glazer,"('Under the Skin', 2013)",director
Adam Sandler,"('Billy Madison', 1995)",actor
Darren Mcgavin,"('Billy Madison', 1995)",actor
Bridgette Wilson-Sampras,"('Billy Madison', 1995)",actor
Bradley Whitford,"('Billy Madison', 1995)",actor
Tamra Davis,"('Billy Madison', 1995)",director
Gemma Chan,"('Eternals', 2021)",actor
Richard Madden,"('Eternals', 2021)",actor
Angelina Jolie,"('Eternals', 2021)",actor
Salma Hayek,"('Eternals', 2021)",actor
Chloe Zhao,"('Eternals', 2021)",director
Kyle Maclachlan,"('Dune', 1984)",actor
Virginia Madsen,"('Dune', 1984)",actor
Francesca Annis,"('Dune', 1984)",actor
Leonardo Cimino,"('Dune', 1984)",actor
David Lynch,"('Dune', 1984)",director
Kevin Costner,"('Waterworld', 1995)",actor
Jeanne Tripplehorn,"('Waterworld', 1995)",actor
Dennis Hopper,"('Waterworld', 1995)",actor
Tina Majorino,"('Waterworld', 1995)",actor
Kevin Reynolds,"('Waterworld', 1995)",director
Alicia Vikander,"('Tomb Raider', 2018)",actor
Dominic West,"('Tomb Raider', 2018)",actor
Walton Goggins,"('Tomb Raider', 2018)",actor
Daniel Wu,"('Tomb Raider', 2018)",actor
Roar Uthaug,"('Tomb Raider', 2018)",director
Tom Holland,"('Uncharted', 2022)",actor
Mark Wahlberg,"('Uncharted', 2022)",actor
Antonio Banderas,"('Uncharted', 2022)",actor
Sophia Ali,"('Uncharted', 2022)",actor
Ruben Fleischer,"('Uncharted', 2022)",director
Patrick Wilson,"('The Conjuring: The Devil Made Me Do It', 2021)",actor
Vera Farmiga,"('The Conjuring: The Devil Made Me Do It', 2021)",actor
Ruairi O'Connor,"('The Conjuring: The Devil Made Me Do It', 2021)",actor
Sarah Catherine Hook,"('The Conjuring: The Devil Made Me Do It', 2021)",actor
Michael Chaves,"('The Conjuring: The Devil Made Me Do It', 2021)",director
Tom Cruise,"('Legend', 1985)",actor
Mia Sara,"('Legend', 1985)",actor
Tim Curry,"('Legend', 1985)",actor
David Bennent,"('Legend', 1985)",actor
Ridley Scott,"('Legend', 1985)",director
Alexander Skarsgard,"('Godzilla vs. Kong', 2021)",actor
Millie Bobby Brown,"('Godzilla vs. Kong', 2021)",actor
Rebecca Hall,"('Godzilla vs. Kong', 2021)",actor
Brian Tyree Henry,"('Godzilla vs. Kong', 2021)",actor
Adam Wingard,"('Godzilla vs. Kong', 2021)",director
Sandra Bullock,"(""Ocean's Eight"", 2018)",actor
Cate Blanchett,"(""Ocean's Eight"", 2018)",actor
Anne Hathaway,"(""Ocean's Eight"", 2018)",actor
Mindy Kaling,"(""Ocean's Eight"", 2018)",actor
Gary Ross,"(""Ocean's Eight"", 2018)",director
Alessandro Nivola,"('The Many Saints of Newark', 2021)",actor
Leslie Odom Jr.,"('The Many Saints of Newark', 2021)",actor
Jon Bernthal,"('The Many Saints of Newark', 2021)",actor
Vera Farmiga,"('The Many Saints of Newark', 2021)",actor
Alan Taylor,"('The Many Saints of Newark', 2021)",director
Rafe Spall,"('The Ritual', 2017)",actor
Arsher Ali,"('The Ritual', 2017)",actor
Robert James-Collier,"('The Ritual', 2017)",actor
Sam Troughton,"('The Ritual', 2017)",actor
David Bruckner,"('The Ritual', 2017)",director
Tobey Maguire,"('Spider-Man 3', 2007)",actor
Kirsten Dunst,"('Spider-Man 3', 2007)",actor
Topher Grace,"('Spider-Man 3', 2007)",actor
Thomas Haden Church,"('Spider-Man 3', 2007)",actor
Sam Raimi,"('Spider-Man 3', 2007)",director
Jason Bateman,"('The Change-Up', 2011)",actor
Ryan Reynolds,"('The Change-Up', 2011)",actor
Olivia Wilde,"('The Change-Up', 2011)",actor
Leslie Mann,"('The Change-Up', 2011)",actor
David Dobkin,"('The Change-Up', 2011)",director
Judah Lewis,"('The Babysitter', 2017)",actor
Samara Weaving,"('The Babysitter', 2017)",actor
Robbie Amell,"('The Babysitter', 2017)",actor
Hana Mae Lee,"('The Babysitter', 2017)",actor
Mcg,"('The Babysitter', 2017)",director
Sandra Bullock,"('Miss Congeniality', 2000)",actor
Michael Caine,"('Miss Congeniality', 2000)",actor
Benjamin Bratt,"('Miss Congeniality', 2000)",actor
Candice Bergen,"('Miss Congeniality', 2000)",actor
Donald Petrie,"('Miss Congeniality', 2000)",director
Maika Monroe,"('Watcher', 2022)",actor
Karl Glusman,"('Watcher', 2022)",actor
Burn Gorman,"('Watcher', 2022)",actor
Tudor Petrut,"('Watcher', 2022)",actor
Chloe Okuno,"('Watcher', 2022)",director
Dwayne Johnson,"('Red Notice', 2021)",actor
Ryan Reynolds,"('Red Notice', 2021)",actor
Gal Gadot,"('Red Notice', 2021)",actor
Ritu Arya,"('Red Notice', 2021)",actor
Rawson Marshall Thurber,"('Red Notice', 2021)",director
Nicole Kidman,"('Before I Go to Sleep', 2014)",actor
Colin Firth,"('Before I Go to Sleep', 2014)",actor
Mark Strong,"('Before I Go to Sleep', 2014)",actor
Anne-Marie Duff,"('Before I Go to Sleep', 2014)",actor
Rowan Joffe,"('Before I Go to Sleep', 2014)",director
Sophie Thatcher,"('Prospect', 2018)",actor
Jay Duplass,"('Prospect', 2018)",actor
Pedro Pascal,"('Prospect', 2018)",actor
Luke Pitzrick,"('Prospect', 2018)",actor
Christopher Caldwell,"('Prospect', 2018)",director
Zeek Earl,"('Prospect', 2018)",director
Jennifer Garner,"('13 Going on 30', 2004)",actor
Mark Ruffalo,"('13 Going on 30', 2004)",actor
Judy Greer,"('13 Going on 30', 2004)",actor
Andy Serkis,"('13 Going on 30', 2004)",actor
Gary Winick,"('13 Going on 30', 2004)",director
Jack Black,"('Goosebumps', 2015)",actor
Dylan Minnette,"('Goosebumps', 2015)",actor
Odeya Rush,"('Goosebumps', 2015)",actor
Ryan Lee,"('Goosebumps', 2015)",actor
Rob Letterman,"('Goosebumps', 2015)",director
Travis Tedford,"('The Little Rascals', 1994)",actor
Bug Hall,"('The Little Rascals', 1994)",actor
Brittany Ashton Holmes,"('The Little Rascals', 1994)",actor
Kevin Jamal Woods,"('The Little Rascals', 1994)",actor
Penelope Spheeris,"('The Little Rascals', 1994)",director
Mads Mikkelsen,"('Polar', 2019)",actor
Vanessa Hudgens,"('Polar', 2019)",actor
Katheryn Winnick,"('Polar', 2019)",actor
Fei Ren,"('Polar', 2019)",actor
Jonas Akerlund,"('Polar', 2019)",director
Clive Owen,"('King Arthur', 2004)",actor
Stephen Dillane,"('King Arthur', 2004)",actor
Keira Knightley,"('King Arthur', 2004)",actor
Ioan Gruffudd,"('King Arthur', 2004)",actor
Antoine Fuqua,"('King Arthur', 2004)",director
Katie Aselton,"('Creep', 2014)",actor
Patrick Brice,"('Creep', 2014)",actor
Mark Duplass,"('Creep', 2014)",actor
Patrick Brice,"('Creep', 2014)",director
Kurt Russell,"('Sky High', 2005)",actor
Kelly Preston,"('Sky High', 2005)",actor
Michael Angarano,"('Sky High', 2005)",actor
Danielle Panabaker,"('Sky High', 2005)",actor
Mike Mitchell,"('Sky High', 2005)",director
Jake Gyllenhaal,"('The Guilty', 2021)",actor
Riley Keough,"('The Guilty', 2021)",actor
Peter Sarsgaard,"('The Guilty', 2021)",actor
Christina Vidal,"('The Guilty', 2021)",actor
Antoine Fuqua,"('The Guilty', 2021)",director
Chris Messina,"('Devil', 2010)",actor
Caroline Dhavernas,"('Devil', 2010)",actor
Bokeem Woodbine,"('Devil', 2010)",actor
Logan Marshall-Green,"('Devil', 2010)",actor
John Erick Dowdle,"('Devil', 2010)",director
Camila Mendes,"('Do Revenge', 2022)",actor
Maya Hawke,"('Do Revenge', 2022)",actor
Austin Abrams,"('Do Revenge', 2022)",actor
Rish Shah,"('Do Revenge', 2022)",actor
Jennifer Kaytin Robinson,"('Do Revenge', 2022)",director
Rosie Traynor,"('Lake Mungo', 2008)",actor
David Pledger,"('Lake Mungo', 2008)",actor
Martin Sharpe,"('Lake Mungo', 2008)",actor
Talia Zucker,"('Lake Mungo', 2008)",actor
Joel Anderson,"('Lake Mungo', 2008)",director
Katie Featherston,"('Paranormal Activity', 2007)",actor
Micah Sloat,"('Paranormal Activity', 2007)",actor
Mark Fredrichs,"('Paranormal Activity', 2007)",actor
Amber Armstrong,"('Paranormal Activity', 2007)",actor
Oren Peli,"('Paranormal Activity', 2007)",director
Jim Carrey,"('How the Grinch Stole Christmas', 2000)",actor
Taylor Momsen,"('How the Grinch Stole Christmas', 2000)",actor
Kelley,"('How the Grinch Stole Christmas', 2000)",actor
Jeffrey Tambor,"('How the Grinch Stole Christmas', 2000)",actor
Ron Howard,"('How the Grinch Stole Christmas', 2000)",director
Channing Tatum,"('White House Down', 2013)",actor
